1,2019-05-22 17:17:35,\N,standard,6,370,2019-05-24 02:17:35 UTC,2019-05-24 05:17:35 UTC,12,lacusAtVelit.mp3,active,2,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique."
2,2019-04-29 12:19:50,\N,standard,3,667,2019-04-29 16:19:50 UTC,2019-04-29 18:19:50 UTC,5,tempus.avi,active,3,Duis ac nibh.
3,2019-03-22 05:55:14,\N,standard,4,239,2019-03-23 12:55:14 UTC,2019-03-24 00:55:14 UTC,15,habitasse.avi,ended,5,Nullam molestie nibh in lectus. Pellentesque at nulla.
4,2019-03-23 13:26:05,\N,standard,20,816,2019-03-25 12:26:05 UTC,2019-03-25 13:26:05 UTC,4,inImperdiet.mov,ended,4,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat."
5,2019-03-14 14:05:31,\N,mountain,11,247,2019-03-14 16:05:31 UTC,2019-03-14 20:05:31 UTC,19,luctusEtUltrices.mov,cancelled,2,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus."
6,2019-03-11 03:23:21,\N,standard,4,723,2019-03-12 11:23:21 UTC,2019-03-12 17:23:21 UTC,15,utMassaVolutpat.xls,reserved,1,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc."
7,2019-04-03 02:20:18,\N,road,1,64,2019-04-04 13:20:18 UTC,2019-04-04 14:20:18 UTC,19,sit.xls,ended,1,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
8,2019-05-14 07:38:21,\N,standard,4,714,2019-05-14 15:38:21 UTC,2019-05-15 01:38:21 UTC,15,in.avi,reserved,4,"Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla."
9,2019-04-21 18:11:56,\N,standard,1,669,2019-04-23 23:11:56 UTC,2019-04-24 09:11:56 UTC,16,nulla.png,reserved,1,Nam tristique tortor eu pede.
10,2019-03-31 14:33:57,\N,standard,4,596,2019-04-01 12:33:57 UTC,2019-04-01 14:33:57 UTC,19,semperSapienA.jpeg,active,2,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti."
11,2019-03-19 09:34:30,\N,mountain,7,148,2019-03-21 08:34:30 UTC,2019-03-21 20:34:30 UTC,11,accumsan.tiff,reserved,1,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat."
12,2019-04-03 02:13:09,180,standard,9,374,2019-04-03 14:13:09 UTC,2019-04-03 18:13:09 UTC,3,nisi.xls,active,2,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem."
13,2019-05-09 12:47:00,\N,standard,9,136,2019-05-11 10:47:00 UTC,2019-05-11 15:47:00 UTC,4,viverraEget.tiff,active,5,Etiam vel augue. Vestibulum rutrum rutrum neque.
14,2019-05-15 07:48:07,\N,mountain,14,985,2019-05-17 11:48:07 UTC,2019-05-17 23:48:07 UTC,3,nullaNislNunc.mov,reserved,4,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc."
15,2019-05-26 22:38:32,114,standard,5,301,2019-05-26 22:38:32 UTC,2019-05-27 03:38:32 UTC,17,enim.ppt,ended,3,"Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla."
16,2019-05-01 00:28:09,\N,mountain,19,984,2019-05-03 11:28:09 UTC,2019-05-03 18:28:09 UTC,17,estLaciniaNisi.mov,reserved,5,Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum.
17,2019-05-31 03:12:00,\N,standard,18,974,2019-06-01 08:12:00 UTC,2019-06-01 15:12:00 UTC,15,in.xls,reserved,5,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.
18,2019-03-11 21:36:04,\N,standard,9,484,2019-03-12 01:36:04 UTC,2019-03-12 09:36:04 UTC,8,justo.gif,ended,2,Pellentesque eget nunc.
19,2019-04-29 11:27:01,\N,standard,5,106,2019-04-29 17:27:01 UTC,2019-04-30 04:27:01 UTC,18,cursus.mp3,ended,3,Donec dapibus.
20,2019-05-04 17:38:17,\N,standard,3,705,2019-05-06 00:38:17 UTC,2019-05-06 08:38:17 UTC,12,dapibusDuisAt.ppt,active,3,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi."
21,2019-05-17 15:41:42,\N,standard,8,653,2019-05-17 19:41:42 UTC,2019-05-18 05:41:42 UTC,14,lectus.mp3,active,5,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus."
22,2019-03-31 20:19:03,\N,road,12,658,2019-04-02 08:19:03 UTC,2019-04-02 09:19:03 UTC,17,feugiat.pdf,reserved,3,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
